number	sample	contig	 Reads 	 length 	ref	coding	family
288	34030	contig_1857	" 1,161 "	" 141,010 "	Epsilon_1	11	Epsilon
1567	34007	contig_8031	" 1,158 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
1087	33902	contig_7091	" 1,150 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
1547	33955	contig_8031	" 1,149 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
1238	33888	contig_1091	" 1,143 "	" 145,297 "	Epsilon_2_3	11	Epsilon
1108	33957	contig_7091	" 1,127 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
1062	34037	contig_7054	" 1,117 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
822	33980	contig_5621	" 1,093 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1414	34015	contig_2405	" 1,092 "	" 18,695 "	Epsilon_1	11	Epsilon
1529	33901	contig_6493	" 1,086 "	" 21,922 "	Zeta_15_1	11	Zeta
1587	33897	contig_241601	" 1,082 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1808	33975	contig_239515	" 1,079 "	" 18,913 "	Mahlunavirus	11	Steigviridae
999	33979	contig_7034	" 1,078 "	" 16,937 "	Kingevirus communis	11	Crevaviridae
1171	34030	contig_9031	" 1,073 "	" 13,531 "		11	
1517	34037	contig_3469	" 1,069 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
498	34027	contig_240585	" 1,058 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
518	33877	contig_3100	" 1,036 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1894	34000	contig_7377	" 1,032 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
316	33943	contig_2345	" 1,026 "	" 17,956 "	Epsilon_1_1	11	Epsilon
240	33939	contig_1857	" 1,021 "	" 141,010 "	Epsilon_1	11	Epsilon
1563	33989	contig_8031	" 1,012 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
1641	33964	contig_10753	" 1,011 "	" 16,928 "	Suoliviridae	TAG	Suoliviridae
1549	33960	contig_8031	" 1,008 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
224	33891	contig_1857	 993 	" 141,010 "	Epsilon_1	11	Epsilon
1381	33943	contig_2405	 981 	" 18,695 "	Epsilon_1	11	Epsilon
1812	33936	contig_243430	 975 	" 13,080 "	Zeta_15_1	11	Zeta
494	34019	contig_240585	 974 	" 10,264 "	Dabirmavirus	11	Intestiviridae
1399	33981	contig_2405	 974 	" 18,695 "	Epsilon_1	11	Epsilon
1814	33949	contig_243430	 964 	" 13,080 "	Zeta_15_1	11	Zeta
1986	34024	contig_11105	 964 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
629	33855	contig_3411	 952 	" 77,979 "	Epsilon_1_4	11	Epsilon
934	33896	contig_7024	 944 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1207	33866	contig_10841	 942 	" 12,322 "	Blohavirus americanus	TAG	Suoliviridae
1604	34013	contig_241601	 936 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1004	33997	contig_7034	 933 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1481	33941	contig_3469	 933 	" 56,074 "	Junduvirus communis	11	Crevaviridae
254	33961	contig_1857	 927 	" 141,010 "	Epsilon_1	11	Epsilon
1201	34039	contig_10809	 921 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1251	33917	contig_1091	 916 	" 145,297 "	Epsilon_2_3	11	Epsilon
1656	33917	contig_8225	 914 	" 178,222 "	Zeta_3_1	11	Zeta
66	33981	contig_12149	 904 	" 59,357 "	Asinivirinae	11	Steigviridae
21	33855	contig_11002	 894 	" 106,707 "	Culoivirus	11	Suoliviridae
1407	33997	contig_2405	 894 	" 18,695 "	Epsilon_1	11	Epsilon
1043	33957	contig_7054	 891 	" 34,118 "	Kingevirus communis	11	Crevaviridae
396	33922	contig_239060	 884 	" 10,591 "	Carjivirus communis	11	Intestiviridae
863	33890	contig_5776	 882 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
705	34011	contig_3411	 859 	" 77,979 "	Epsilon_1_4	11	Epsilon
1109	33959	contig_7091	 856 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1484	33955	contig_3469	 852 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1154	33893	contig_8054	 847 	" 71,426 "	Kahnovirus	11	Steigviridae
591	33955	contig_3213	 831 	" 37,472 "	Epsilon_1	11	Epsilon
1631	33964	contig_10752	 825 	" 13,004 "	Suoliviridae	TAG	Suoliviridae
1379	33941	contig_2405	 815 	" 18,695 "	Epsilon_1	11	Epsilon
711	34029	contig_3411	 814 	" 77,979 "	Epsilon_1_4	11	Epsilon
1615	34041	contig_241601	 800 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1419	34036	contig_2405	 789 	" 18,695 "	Epsilon_1	11	Epsilon
992	33947	contig_7034	 785 	" 16,937 "	Kingevirus communis	11	Crevaviridae
358	34029	contig_2345	 773 	" 17,956 "	Epsilon_1_1	11	Epsilon
357	34022	contig_2345	 763 	" 17,956 "	Epsilon_1_1	11	Epsilon
1389	33961	contig_2405	 758 	" 18,695 "	Epsilon_1	11	Epsilon
768	34028	contig_5617	 757 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1898	33880	contig_14619	 756 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1550	33961	contig_8031	 755 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1496	33984	contig_3469	 743 	" 56,074 "	Junduvirus communis	11	Crevaviridae
187	33947	contig_18154	 742 	" 20,165 "	Kingevirus communis	11	Crevaviridae
609	33984	contig_3213	 732 	" 37,472 "	Epsilon_1	11	Epsilon
647	33891	contig_3411	 732 	" 77,979 "	Epsilon_1_4	11	Epsilon
1099	33940	contig_7091	 721 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1040	33943	contig_7054	 710 	" 34,118 "	Kingevirus communis	11	Crevaviridae
948	33947	contig_7024	 708 	" 36,085 "	Kingevirus communis	11	Crevaviridae
696	33996	contig_3411	 706 	" 77,979 "	Epsilon_1_4	11	Epsilon
1064	34040	contig_7054	 704 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1608	34024	contig_241601	 701 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
575	33896	contig_3213	 686 	" 37,472 "	Epsilon_1	11	Epsilon
763	34013	contig_5617	 686 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1679	33880	contig_8451	 686 	" 46,522 "	Zeta_3_1	11	Zeta
1774	33902	contig_18456	 685 	" 44,008 "	Birpovirus	11	Suoliviridae
1807	33954	contig_239515	 680 	" 18,913 "	Mahlunavirus	11	Steigviridae
712	34030	contig_3411	 673 	" 77,979 "	Epsilon_1_4	11	Epsilon
805	33931	contig_5621	 667 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1440	33906	contig_3325	 663 	" 29,397 "	Junduvirus copri	11	Crevaviridae
851	33863	contig_5776	 662 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
660	33939	contig_3411	 661 	" 77,979 "	Epsilon_1_4	11	Epsilon
1649	33861	contig_8225	 654 	" 178,222 "	Zeta_3_1	11	Zeta
803	33926	contig_5621	 650 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
343	33996	contig_2345	 636 	" 17,956 "	Epsilon_1_1	11	Epsilon
719	33855	contig_5148	 626 	" 72,032 "	Kehishuvirus	11	Steigviridae
344	33997	contig_2345	 622 	" 17,956 "	Epsilon_1_1	11	Epsilon
1186	33981	contig_10809	 614 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1904	33974	contig_14619	 611 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1666	33880	contig_8448	 603 	" 25,091 "	Zeta_3_1	11	Zeta
1600	33988	contig_241601	 602 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
718	34042	contig_3411	 595 	" 77,979 "	Epsilon_1_4	11	Epsilon
154	33981	contig_13662	 594 	" 22,603 "	Asinivirinae	11	Steigviridae
987	33936	contig_7034	 594 	" 16,937 "	Kingevirus communis	11	Crevaviridae
829	34007	contig_5621	 591 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1684	33941	contig_8451	 591 	" 46,522 "	Zeta_3_1	11	Zeta
1930	34019	contig_15614	 591 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
598	33964	contig_3213	 583 	" 37,472 "	Epsilon_1	11	Epsilon
1511	34011	contig_3469	 578 	" 56,074 "	Junduvirus communis	11	Crevaviridae
622	34015	contig_3213	 577 	" 37,472 "	Epsilon_1	11	Epsilon
1545	33916	contig_8031	 576 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1012	34040	contig_7034	 568 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1041	33947	contig_7054	 567 	" 34,118 "	Kingevirus communis	11	Crevaviridae
880	33936	contig_5776	 566 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1686	33943	contig_8451	 562 	" 46,522 "	Zeta_3_1	11	Zeta
2024	33936	contig_239885	 555 	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
362	34042	contig_2345	 543 	" 17,956 "	Epsilon_1_1	11	Epsilon
988	33940	contig_7034	 541 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1084	33893	contig_7091	 540 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1480	33932	contig_3469	 536 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1306	33981	contig_10830	 531 	" 23,029 "	Birpovirus	TAG	Suoliviridae
837	34027	contig_5621	 530 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
191	33979	contig_18154	 520 	" 20,165 "	Kingevirus communis	11	Crevaviridae
1193	34009	contig_10809	 506 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1558	33979	contig_8031	 503 	" 11,383 "	Birpovirus	TAG	Suoliviridae
201	34037	contig_18154	 495 	" 20,165 "	Kingevirus communis	11	Crevaviridae
1345	33988	contig_17571	 493 	" 113,452 "	Zeta_7_1	TGA	Zeta
1925	33980	contig_15614	 493 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1971	33931	contig_11105	 486 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
1317	33981	contig_10844	 485 	" 14,861 "	Blohavirus americanus	TAG	Suoliviridae
1578	34042	contig_8031	 485 	" 11,383 "	Birpovirus	TAG	Suoliviridae
74	34039	contig_12149	 482 	" 59,357 "	Asinivirinae	11	Steigviridae
1485	33960	contig_3469	 475 	" 56,074 "	Junduvirus communis	11	Crevaviridae
742	33877	contig_5617	 474 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
47	33862	contig_12149	 472 	" 59,357 "	Asinivirinae	11	Steigviridae
1096	33932	contig_7091	 464 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1610	34028	contig_241601	 461 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1951	34037	contig_16169	 459 	" 35,220 "	Buchavirus	TAG	Suoliviridae
555	34038	contig_3100	 458 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1037	33940	contig_7054	 456 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1564	33996	contig_8031	 455 	" 11,383 "	Birpovirus	TAG	Suoliviridae
203	34040	contig_18154	 443 	" 20,165 "	Kingevirus communis	11	Crevaviridae
175	33902	contig_18154	 442 	" 20,165 "	Kingevirus communis	11	Crevaviridae
619	34008	contig_3213	 442 	" 37,472 "	Epsilon_1	11	Epsilon
1580	33866	contig_8057	 442 	" 14,562 "	Kahnovirus copri	11	Steigviridae
566	33867	contig_3213	 438 	" 37,472 "	Epsilon_1	11	Epsilon
2154	33992	contig_11554	 437 	" 30,342 "		11	unknown
1572	34022	contig_8031	 435 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1853	33993	contig_241147	 433 	" 92,029 "	Drivevirus	11	Intestiviridae
1648	33860	contig_8225	 428 	" 178,222 "	Zeta_3_1	11	Zeta
1934	34028	contig_15614	 423 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1867	33922	contig_7377	 409 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
626	34036	contig_3213	 400 	" 37,472 "	Epsilon_1	11	Epsilon
471	33976	contig_240585	 394 	" 10,264 "	Dabirmavirus	11	Intestiviridae
67	33982	contig_12149	 393 	" 59,357 "	Asinivirinae	11	Steigviridae
901	34011	contig_5776	 385 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
951	33957	contig_7024	 384 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1106	33954	contig_7091	 384 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1901	33897	contig_14619	 380 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1237	33884	contig_1091	 378 	" 145,297 "	Epsilon_2_3	11	Epsilon
1533	33943	contig_6493	 378 	" 21,922 "	Zeta_15_1	11	Zeta
806	33932	contig_5621	 377 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1334	33890	contig_17571	 376 	" 113,452 "	Zeta_7_1	TGA	Zeta
461	33943	contig_240585	 375 	" 10,264 "	Dabirmavirus	11	Intestiviridae
70	33997	contig_12149	 374 	" 59,357 "	Asinivirinae	11	Steigviridae
621	34011	contig_3213	 374 	" 37,472 "	Epsilon_1	11	Epsilon
273	33995	contig_1857	 370 	" 141,010 "	Epsilon_1	11	Epsilon
1810	33901	contig_243430	 359 	" 13,080 "	Zeta_15_1	11	Zeta
2025	33957	contig_239885	 352 	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
509	34043	contig_240585	 351 	" 10,264 "	Dabirmavirus	11	Intestiviridae
1437	34039	contig_241592	 351 	" 97,658 "	Birpovirus	TAG	Suoliviridae
2096	33940	contig_6226	 351 	" 43,839 "	Zeta_1	TAG	Zeta
10	33855	contig_11000	 350 	" 18,137 "	Culoivirus faecalis	11	Suoliviridae
1428	33965	contig_241592	 350 	" 97,658 "	Birpovirus	TAG	Suoliviridae
1725	34042	contig_14135	 350 	" 68,829 "	Zeta_4_1	11	Zeta
2052	33898	contig_13463	 350 	" 31,471 "	Fohxhuevirus gastrointestinalis	11	Intestiviridae
1226	34039	contig_10841	 348 	" 12,322 "	Blohavirus americanus	TAG	Suoliviridae
1933	34027	contig_15614	 347 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
944	33940	contig_7024	 344 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1520	34040	contig_3469	 340 	" 56,074 "	Junduvirus communis	11	Crevaviridae
1716	33861	contig_14135	 340 	" 68,829 "	Zeta_4_1	11	Zeta
1561	33984	contig_8031	 332 	" 11,383 "	Birpovirus	TAG	Suoliviridae
777	33859	contig_5621	 330 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1988	34028	contig_11105	 329 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
195	33997	contig_18154	 327 	" 20,165 "	Kingevirus communis	11	Crevaviridae
561	33855	contig_3213	 326 	" 37,472 "	Epsilon_1	11	Epsilon
991	33943	contig_7034	 326 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1571	34015	contig_8031	 326 	" 11,383 "	Birpovirus	TAG	Suoliviridae
748	33929	contig_5617	 323 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1984	34007	contig_11105	 323 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
2156	34000	contig_242504	 319 	" 15,858 "	Drivevirus gastrointestinalis	11	Intestiviridae
1343	33981	contig_17571	 317 	" 113,452 "	Zeta_7_1	TGA	Zeta
291	34039	contig_1857	 313 	" 141,010 "	Epsilon_1	11	Epsilon
1325	34039	contig_10844	 310 	" 14,861 "	Blohavirus americanus	TAG	Suoliviridae
1548	33957	contig_8031	 305 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1672	33941	contig_8448	 305 	" 25,091 "	Zeta_3_1	11	Zeta
1932	34024	contig_15614	 305 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
664	33947	contig_3411	 302 	" 77,979 "	Epsilon_1_4	11	Epsilon
1349	34018	contig_17571	 302 	" 113,452 "	Zeta_7_1	TGA	Zeta
1574	34036	contig_8031	 302 	" 11,383 "	Birpovirus	TAG	Suoliviridae
383	33884	contig_239060	 293 	" 10,591 "	Carjivirus communis	11	Intestiviridae
952	33959	contig_7024	 292 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1268	33958	contig_1091	 291 	" 145,297 "	Epsilon_2_3	11	Epsilon
2059	33954	contig_17000	 290 	" 28,444 "	Delmidovirus intestinihominis	11	Intestiviridae
596	33961	contig_3213	 289 	" 37,472 "	Epsilon_1	11	Epsilon
34	33925	contig_11002	 288 	" 106,707 "	Culoivirus	11	Suoliviridae
1756	33877	contig_242515	 282 	" 14,110 "		11	
220	33884	contig_1857	 281 	" 141,010 "	Epsilon_1	11	Epsilon
1546	33932	contig_8031	 281 	" 11,383 "	Birpovirus	TAG	Suoliviridae
856	33879	contig_5776	 277 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1977	33965	contig_11105	 277 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
1543	33870	contig_8031	 266 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1590	33932	contig_241601	 265 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1124	34009	contig_7091	 264 	" 66,998 "	Kingevirus communis	11	Crevaviridae
1577	34040	contig_8031	 262 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1887	33961	contig_7377	 261 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
1535	33979	contig_6493	 259 	" 21,922 "	Zeta_15_1	11	Zeta
757	33980	contig_5617	 258 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1764	33942	contig_10396	 253 	" 35,214 "	Mahlunavirus rarus	11	Steigviridae
1315	33866	contig_10844	 250 	" 14,861 "	Blohavirus americanus	TAG	Suoliviridae
695	33995	contig_3411	 249 	" 77,979 "	Epsilon_1_4	11	Epsilon
2049	34037	contig_17442	 249 	" 75,857 "	Buchavirus	TAG	Suoliviridae
1589	33931	contig_241601	 245 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
274	33996	contig_1857	 244 	" 141,010 "	Epsilon_1	11	Epsilon
773	34042	contig_5617	 238 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
159	34039	contig_13662	 237 	" 22,603 "	Asinivirinae	11	Steigviridae
287	34029	contig_1857	 237 	" 141,010 "	Epsilon_1	11	Epsilon
1609	34027	contig_241601	 235 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1065	33855	contig_7091	 228 	" 66,998 "	Kingevirus communis	11	Crevaviridae
676	33963	contig_3411	 226 	" 77,979 "	Epsilon_1_4	11	Epsilon
842	34036	contig_5621	 219 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1683	33917	contig_8451	 218 	" 46,522 "	Zeta_3_1	11	Zeta
1536	33981	contig_6493	 216 	" 21,922 "	Zeta_15_1	11	Zeta
1427	33936	contig_241592	 215 	" 97,658 "	Birpovirus	TAG	Suoliviridae
1738	33863	contig_9107	 210 	" 49,452 "	Jahgtovirus	11	Intestiviridae
1791	33997	contig_18456	 209 	" 44,008 "	Birpovirus	11	Suoliviridae
1909	34013	contig_14619	 208 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1928	34011	contig_15614	 208 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1341	33976	contig_17571	 202 	" 113,452 "	Zeta_7_1	TGA	Zeta
1044	33959	contig_7054	 201 	" 34,118 "	Kingevirus communis	11	Crevaviridae
857	33880	contig_5776	 199 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1116	33981	contig_7091	 198 	" 66,998 "	Kingevirus communis	11	Crevaviridae
155	33982	contig_13662	 197 	" 22,603 "	Asinivirinae	11	Steigviridae
2138	34001	contig_241570	 195 	" 182,976 "	Zeta_2	11	Zeta
1910	34019	contig_14619	 193 	" 15,200 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1030	33902	contig_7054	 189 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1552	33964	contig_8031	 189 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1926	33982	contig_15614	 186 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1746	33890	contig_9107	 185 	" 49,452 "	Jahgtovirus	11	Intestiviridae
511	33855	contig_3100	 180 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1179	33869	contig_10809	 180 	" 99,263 "	Blohavirus	TAG	Suoliviridae
2079	33940	contig_11403	 175 	" 27,032 "	Buorbuivirus	TAG	Suoliviridae
862	33888	contig_5776	 174 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1417	34029	contig_2405	 174 	" 18,695 "	Epsilon_1	11	Epsilon
860	33884	contig_5776	 172 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1056	34009	contig_7054	 172 	" 34,118 "	Kingevirus communis	11	Crevaviridae
173	33893	contig_18154	 171 	" 20,165 "	Kingevirus communis	11	Crevaviridae
328	33963	contig_2345	 171 	" 17,956 "	Epsilon_1_1	11	Epsilon
235	33922	contig_1857	 170 	" 141,010 "	Epsilon_1	11	Epsilon
286	34022	contig_1857	 166 	" 141,010 "	Epsilon_1	11	Epsilon
292	34042	contig_1857	 166 	" 141,010 "	Epsilon_1	11	Epsilon
957	33981	contig_7024	 161 	" 36,085 "	Kingevirus communis	11	Crevaviridae
513	33865	contig_3100	 160 	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
834	34019	contig_5621	 160 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1143	33859	contig_7648	 160 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1537	33982	contig_6493	 160 	" 21,922 "	Zeta_15_1	11	Zeta
1698	34042	contig_12034	 156 	" 21,580 "	Zeta_4_1	11	Zeta
140	33862	contig_13662	 154 	" 22,603 "	Asinivirinae	11	Steigviridae
1159	33943	contig_8054	 153 	" 71,426 "	Kahnovirus	11	Steigviridae
1406	33996	contig_2405	 151 	" 18,695 "	Epsilon_1	11	Epsilon
861	33887	contig_5776	 148 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1798	33893	contig_21240	 148 	" 14,036 "	Kahnovirus	11	Steigviridae
1923	33940	contig_15614	 147 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1042	33954	contig_7054	 146 	" 34,118 "	Kingevirus communis	11	Crevaviridae
1416	34022	contig_2405	 146 	" 18,695 "	Epsilon_1	11	Epsilon
1421	34042	contig_2405	 145 	" 18,695 "	Epsilon_1	11	Epsilon
775	33856	contig_5621	 144 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
812	33955	contig_5621	 144 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1204	33857	contig_10841	 144 	" 12,322 "	Blohavirus americanus	TAG	Suoliviridae
778	33860	contig_5621	 142 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
190	33959	contig_18154	 141 	" 20,165 "	Kingevirus communis	11	Crevaviridae
1606	34019	contig_241601	 141 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
940	33932	contig_7024	 140 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1687	33861	contig_12034	 140 	" 21,580 "	Zeta_4_1	11	Zeta
75	34040	contig_12149	 139 	" 59,357 "	Asinivirinae	11	Steigviridae
1413	34011	contig_2405	 139 	" 18,695 "	Epsilon_1	11	Epsilon
379	33879	contig_239060	 138 	" 10,591 "	Carjivirus communis	11	Intestiviridae
1605	34018	contig_241601	 138 	" 75,783 "	Diorhovirus copri	11	Intestiviridae
385	33888	contig_239060	 136 	" 10,591 "	Carjivirus communis	11	Intestiviridae
366	33857	contig_239060	 134 	" 10,591 "	Carjivirus communis	11	Intestiviridae
1455	33871	contig_3469	 132 	" 56,074 "	Junduvirus communis	11	Crevaviridae
157	33997	contig_13662	 130 	" 22,603 "	Asinivirinae	11	Steigviridae
933	33893	contig_7024	 128 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1652	33884	contig_8225	 128 	" 178,222 "	Zeta_3_1	11	Zeta
1976	33964	contig_11105	 127 	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
781	33863	contig_5621	 126 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
2022	33926	contig_239885	 125 	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
935	33902	contig_7024	 123 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1576	34039	contig_8031	 123 	" 11,383 "	Birpovirus	TAG	Suoliviridae
1573	34029	contig_8031	 122 	" 11,383 "	Birpovirus	TAG	Suoliviridae
825	33984	contig_5621	 121 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
995	33954	contig_7034	 120 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1314	33857	contig_10844	 120 	" 14,861 "	Blohavirus americanus	TAG	Suoliviridae
1141	33856	contig_7648	 118 	" 47,634 "	Fohxhuevirus	11	Intestiviridae
1870	33936	contig_7377	 118 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
813	33960	contig_5621	 117 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1927	33989	contig_15614	 117 	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
625	34030	contig_3213	 116 	" 37,472 "	Epsilon_1	11	Epsilon
104	33942	contig_13525	 114 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
255	33963	contig_1857	 114 	" 141,010 "	Epsilon_1	11	Epsilon
717	34039	contig_3411	 113 	" 77,979 "	Epsilon_1_4	11	Epsilon
361	34039	contig_2345	 112 	" 17,956 "	Epsilon_1_1	11	Epsilon
859	33882	contig_5776	 112 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1882	33955	contig_7377	 112 	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
827	33997	contig_5621	 111 	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
950	33954	contig_7024	 111 	" 36,085 "	Kingevirus communis	11	Crevaviridae
1636	34042	contig_10752	 111 	" 13,004 "	Suoliviridae	TAG	Suoliviridae
108	33950	contig_13525	 110 	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
871	33902	contig_5776	 110 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1270	33960	contig_1091	 110 	" 145,297 "	Epsilon_2_3	11	Epsilon
1540	34039	contig_6493	 110 	" 21,922 "	Zeta_15_1	11	Zeta
352	34011	contig_2345	 108 	" 17,956 "	Epsilon_1_1	11	Epsilon
761	34007	contig_5617	 106 	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
912	34029	contig_5776	 106 	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1678	33861	contig_8451	 106 	" 46,522 "	Zeta_3_1	11	Zeta
1762	33866	contig_10396	 106 	" 35,214 "	Mahlunavirus rarus	11	Steigviridae
451	33893	contig_240585	 105 	" 10,264 "	Dabirmavirus	11	Intestiviridae
1192	34008	contig_10809	 105 	" 99,263 "	Blohavirus	TAG	Suoliviridae
1486	33961	contig_3469	 105 	" 56,074 "	Junduvirus communis	11	Crevaviridae
56	33932	contig_12149	 104 	" 59,357 "	Asinivirinae	11	Steigviridae
996	33957	contig_7034	 104 	" 16,937 "	Kingevirus communis	11	Crevaviridae
1700	33861	contig_12041	 104 	" 29,559 "	Zeta_4_1	11	Zeta
