#NAME	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H821_chip_S1	H823_chip_S1	H827_chip_S1	H831_chip_2_S1	H831_chip_S1	H835_chip_2_S1	H835_chip_S1	H838_chip_S1	H840_chip_S1	H841_chip_S1	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_swab_1_S1	H827_swab_2_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H837_swab_1_S1	H837_swab_2_S1	H840_swab_1_S1	H840_swab_2_S1	H841_swab_1_S1	H841_swab_2_S1
p__Planctomycetota	6160	23406	107010	1828	13642	659	7145	1724	58	4581	15715	13462	4858	8705	32340	90519	62840	39816	46414	15572	4894	76379	16298	18929	9405	10308	6081	31355	33357	9290	25490	6285	207683	165015	106254	141739	31821	21980	14397	16082	9417	26868	18456	12304	49482	37727	109225	39734	21789	5814	6694	27672	27912	11637	25061	20787	4126	8252	8878	5934	10394	7997
p__Candidatus Campbellbacteria	0	6	8	0	4	0	1	1	0	2	0	4	0	1	2	0	0	2	4	6	0	2	0	0	6	0	0	2	1	0	0	0	0	3	0	2	1	0	0	0	4	1	0	1	3	0	4	2	0	1	0	0	5	1	1	3	0	0	3	2	3	4
p__Parabasalia	3	2	5	4	2	0	10	2	0	1	5	6	0	12	8	35	5	81	83	33	5	36	27	17	19	5	8	12	16	34	21	6	48	29	21	34	22	18	33	4	26	24	13	7	39	23	27	7	17	35	15	9	12	13	45	58	7	8	7	19	0	23
p__Calditrichaeota	87	1132	739	53	552	25	420	71	6	203	923	942	210	626	130	187	135	84	125	162	80	192	57	469	335	322	219	365	366	33	48	236	224	247	119	284	72	45	42	71	221	65	47	116	121	104	247	1343	164	152	25	162	284	228	367	830	39	36	145	260	951	603
p__Candidatus Parcubacteria	24	301	157	28	324	4	195	21	2	44	248	202	107	98	37	57	59	25	45	105	16	71	13	274	51	388	754	218	163	5	9	11	76	59	48	70	11	69	10	7	26	17	10	8	90	34	58	181	46	19	13	79	192	13	818	3166	130	161	25	52	150	101
p__Candidatus Muirbacteria	4	92	13	0	7	0	6	0	0	3	16	18	1	3	7	2	3	2	4	0	4	9	2	10	6	3	18	22	32	0	1	0	4	5	1	3	7	0	0	0	2	0	0	13	3	3	2	8	0	62	1	7	28	6	6	2	0	0	0	1	2	3
p__Chytridiomycota	40	273	265	60	149	14	53	121	0	49	123	272	35	132	279	843	173	2030	1097	353	1421	408	1245	2325	484	2172	2129	1627	825	1520	277	135	995	857	1346	1325	921	427	1220	447	2765	745	404	1551	612	383	616	699	507	1960	551	2075	3672	1382	236	315	47	41	512	229	211	277
p__Candidatus Handelsmanbacteria	23	170	207	13	228	5	76	3	0	29	90	113	53	117	24	31	35	21	26	47	5	49	28	36	33	60	22	53	29	1	14	13	47	47	37	60	31	10	4	15	0	10	12	30	54	30	74	185	30	2	1	29	70	106	32	30	25	36	10	31	78	28
p__Artverviricota	48	0	23	13	0	0	3	44	0	0	0	1	7	0	0	0	3	6	58	17	2	32	3	2	2	4	0	5	4	6	2	4	1	26	15	20	9	6	19	18	2	14	32	4	40	18	20	16	8	1	1	1	2	1	8	4	2	4	7	5	4	0
p__Candidatus Levybacteria	12	131	90	2	43	1	33	5	1	18	83	43	19	28	14	43	34	32	59	8	8	86	12	18	8	31	39	37	13	6	14	12	56	124	67	146	4	18	15	11	0	13	9	7	40	27	71	87	28	4	2	14	24	1	81	178	3	8	12	3	27	31
p__Candidatus Jorgensenbacteria	3	26	6	0	8	0	0	0	0	0	3	2	2	7	0	1	1	0	2	0	0	3	0	2	1	9	14	5	3	0	0	1	2	3	2	0	0	0	0	0	0	2	0	1	0	0	6	12	4	1	2	7	6	2	1	1	0	1	0	1	0	1
p__Pisuviricota	0	1	0	4	0	0	0	0	0	0	2	0	1	0	9	3	16	1	1	1	0	2	0	6	7	50	9	0	1	3	0	0	5	3	5	0	5	2	2	6	0	5	3	2	2	6	2	1	2	9	0	0	0	0	0	2	0	0	1	0	1	18
p__Bacillariophyta	92	233	141	48	153	8	190	42	2	75	223	201	84	170	364	385	353	727	926	328	45	683	221	163	158	144	120	124	153	178	152	174	503	272	258	367	253	124	172	104	179	184	135	110	395	232	465	159	338	157	126	127	226	209	157	155	124	135	106	66	208	198
p__Candidatus Kapabacteria	2	3	27	1	6	1	5	5	0	1	8	0	0	4	0	0	2	3	4	0	1	3	0	6	32	3	2	7	0	1	2	7	2	1	0	4	1	0	0	1	0	1	0	3	4	4	15	2	0	0	0	0	2	1	0	0	0	0	0	3	29	37
p__Candidatus Kerfeldbacteria	5	42	43	0	15	2	41	2	0	13	28	90	3	55	15	16	23	4	12	3	3	10	3	34	51	14	8	33	1	0	2	0	7	8	3	11	0	1	1	2	6	2	5	3	5	4	16	8	1	6	1	1	3	7	12	17	1	3	0	9	11	19
p__Nanoarchaeota	4	24	20	12	52	3	82	3	1	42	79	48	19	83	1	16	10	5	12	60	21	20	4	29	16	111	28	93	14	2	6	4	15	23	14	14	11	26	2	11	32	7	7	12	19	9	12	23	25	4	0	15	39	50	8	14	53	43	3	9	24	19
p__Orthonectida	0	0	0	1	0	0	0	0	0	7	14	1	1	0	3	4	0	10	10	0	0	10	3	4	2	0	1	0	1	0	0	0	14	2	4	12	0	1	1	0	3	12	0	1	21	4	9	0	4	4	0	2	0	0	4	2	0	3	1	0	0	0
p__Candidatus Curtissbacteria	3	15	46	2	4	0	11	2	0	2	2	61	1	14	3	0	3	5	13	3	1	10	2	4	2	12	10	16	5	0	1	1	6	9	7	14	3	0	1	0	3	0	0	1	6	0	9	11	4	0	0	1	7	3	3	4	0	3	0	3	9	1
p__Candidatus Rokubacteria	973	5684	6337	235	3239	163	1384	145	11	1182	4025	2965	845	1351	986	1099	1237	621	910	484	100	1429	347	548	596	795	604	694	634	134	345	354	2273	1635	654	1824	369	389	227	452	200	463	507	553	1050	908	2514	2554	862	227	246	402	866	420	2086	4131	227	372	437	637	1058	846
p__Candidatus Spechtbacteria	6	120	3	1	3	8	4	2	0	4	16	2	0	0	0	3	3	0	0	2	4	1	2	16	19	50	2	5	5	0	0	10	0	2	0	0	0	1	0	0	0	2	2	4	2	0	0	0	4	0	0	5	3	95	7	2	2	0	2	4	4	9
p__Crenarchaeota	125	1268	664	295	1035	35	980	40	13	294	990	1012	357	892	100	106	54	128	198	734	123	117	195	339	148	263	337	480	497	163	77	118	242	193	250	156	133	667	145	129	185	76	112	244	218	133	140	675	234	101	42	149	257	132	404	820	1109	1433	82	94	202	174
p__Onychophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
p__Candidatus Bipolaricaulota	58	538	349	39	558	23	369	5	0	159	531	700	191	223	18	38	14	24	55	71	32	49	12	152	49	157	173	170	56	10	68	37	50	61	58	96	40	36	11	134	54	12	23	41	46	34	57	356	131	50	15	64	176	44	121	222	120	148	35	27	78	51
p__Candidatus Berkelbacteria	49	342	95	3	76	1	36	2	0	86	285	118	26	48	1	30	6	9	13	7	10	29	6	38	10	44	19	24	11	6	6	3	10	45	6	22	3	2	1	1	8	2	9	12	16	10	27	61	14	3	2	7	40	24	44	71	8	4	13	29	11	20
p__Spirochaetes	533	4709	1715	191	1725	118	833	342	11	919	3133	2083	695	1202	815	869	718	374	452	409	661	644	396	1928	2345	2146	1675	1744	1387	181	614	473	644	860	601	636	769	265	235	305	690	205	281	1173	492	381	793	1462	534	619	129	958	2157	1926	863	1537	364	462	638	1968	2966	2418
p__Candidatus Aerophobetes	35	276	125	3	83	2	110	2	0	42	153	137	113	112	16	33	26	9	18	14	32	15	29	71	30	62	73	47	42	13	73	6	24	16	25	23	10	12	0	11	16	7	1	37	20	9	26	114	26	26	3	29	76	48	35	84	10	33	9	26	32	22
p__Candidatus Daviesbacteria	14	66	84	0	13	2	17	4	0	4	16	23	7	30	6	13	1	8	20	2	0	19	1	40	9	2	8	11	5	1	1	0	13	27	14	31	8	0	0	5	2	5	3	1	7	2	15	14	2	3	2	2	22	17	9	1	0	0	10	20	2	27
p__Candidatus Uhrbacteria	18	337	105	11	65	3	36	4	0	33	106	92	11	40	15	31	97	9	39	18	2	35	13	41	46	44	19	24	10	2	11	19	62	59	17	37	12	25	6	5	56	11	11	17	24	19	21	31	16	18	7	8	37	46	55	132	11	5	6	16	37	57
p__Candidatus Thorarchaeota	22	304	219	24	140	12	34	5	0	59	187	92	20	69	574	13	12	6	15	84	3	25	5	30	15	45	52	46	15	6	6	31	27	21	12	31	16	30	3	10	22	10	9	34	18	13	38	107	35	9	10	33	61	53	47	106	96	102	12	39	49	36
p__Nucleocytoviricota	6	19	12	3	3	0	4	11	0	1	6	4	5	3	79	514	126	6127	69	36	7	322	97	42	32	51	37	54	52	13	88	40	367	233	158	643	256	1192	205	31	72	13	41	19	90	52	98	215	30	6713	109	40	31	21	26	12	13	12	28	24	16	20
p__Echinodermata	10	55	57	16	65	7	31	47	2	14	37	18	11	18	28	89	11	110	255	100	17	74	67	43	28	39	30	20	25	90	11	32	120	104	82	91	21	183	80	36	44	63	36	33	175	257	157	55	56	74	28	30	28	14	22	50	17	22	41	14	16	20
p__Brachiopoda	2	35	19	2	1	3	2	2	0	6	2	1	0	3	0	6	0	43	97	16	3	37	16	11	5	3	1	6	6	20	6	1	34	17	16	14	21	19	11	7	9	23	7	16	28	67	23	12	21	9	9	19	21	12	6	34	6	1	2	7	7	1
p__Candidatus Dadabacteria	39	458	208	7	464	10	213	13	7	108	433	281	140	293	34	97	57	50	62	73	13	111	24	72	87	162	108	105	75	11	16	109	67	84	32	109	14	29	25	14	84	32	40	58	55	38	132	357	99	4	5	22	89	29	182	425	24	37	37	57	225	90
p__Candidatus Tagabacteria	0	0	0	0	1	0	0	0	0	3	3	3	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	8	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Candidatus Adlerbacteria	0	3	2	2	0	0	0	0	0	0	0	1	0	1	0	3	1	0	3	1	0	3	0	0	2	0	0	2	0	2	0	0	3	2	3	6	2	0	0	0	0	0	0	2	4	0	5	2	4	0	0	1	0	0	2	2	1	0	1	2	3	4
p__candidate division NC10	84	823	521	9	469	22	353	10	1	144	546	524	136	188	48	66	71	47	62	26	7	84	56	65	76	121	67	78	285	13	26	115	100	127	65	125	28	9	17	15	12	49	29	59	80	62	153	461	119	43	9	35	103	15	256	741	11	23	219	46	137	65
p__Discosea	19	238	313	3	61	2	16	8	0	18	51	52	22	38	34	226	26	142	197	47	12	192	123	66	251	24	1282	83	88	73	30	10	444	249	117	330	35	65	71	23	48	52	36	18	134	87	175	104	60	41	17	33	42	107	182	498	34	24	64	20	36	47
p__Kiritimatiellaeota	18	274	96	9	230	3	266	22	5	20	60	227	84	213	50	173	98	33	73	36	15	78	65	89	128	69	81	65	70	15	33	56	79	104	34	86	30	19	13	16	16	17	25	61	51	30	107	180	49	7	22	19	57	75	47	55	53	43	60	79	153	119
p__Basidiomycota	1915	2279	2841	1334	2262	88	1011	6354	13	439	1327	1235	972	732	169732	464225	54557	91921	22675	6886	105033	35621	770425	336478	91649	10671	13854	150707	165640	1072875	124951	124469	906104	847909	155935	35845	9547	19718	974205	657944	550820	249936	416391	252620	16629	15416	27831	18203	15637	40809	134787	60022	21159	30234	8099	10520	5595	4076	184227	9491	2221	15679
p__Candidatus Pacebacteria	1	28	33	1	1	1	17	1	0	22	70	54	1	17	3	6	4	6	9	25	0	11	6	10	10	1	5	5	1	3	0	5	13	18	6	21	2	27	0	0	1	0	2	13	4	2	17	8	5	6	0	22	7	19	12	18	12	26	2	7	6	13
p__Candidatus Aenigmarchaeota	69	243	117	25	141	4	172	6	1	29	96	129	64	247	15	11	7	33	35	117	23	29	3	38	15	24	16	52	109	5	10	4	30	24	48	41	3	80	5	5	24	13	5	9	49	30	44	81	29	9	6	24	34	4	18	37	268	284	5	22	41	27
p__Candidatus Thermoplasmatota	225	1162	727	270	759	44	1071	32	12	219	684	934	309	1068	169	149	113	169	201	776	71	156	32	390	419	326	245	542	653	20	55	101	164	153	238	168	86	473	21	37	164	50	61	147	227	179	191	708	244	235	22	144	301	86	394	853	1300	1350	75	183	394	239
p__Acanthocephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Haptophyta	32	212	134	32	113	13	92	32	0	40	144	95	49	139	191	437	239	245	177	86	24	113	164	105	115	118	83	95	84	150	87	57	456	189	150	196	59	73	138	114	114	108	91	73	142	110	171	128	108	195	72	47	62	101	127	146	26	58	177	50	173	249
p__Zoopagomycota	30	35	41	55	28	5	53	92	0	19	44	84	20	54	182	370	141	1358	724	245	134	182	1206	562	321	96	91	177	151	1283	210	187	690	670	833	723	289	274	1225	219	882	546	295	134	265	266	219	259	203	517	241	261	372	71	134	191	86	70	372	79	36	118
p__candidate division LCP-89	0	11	2	3	1	2	18	0	0	2	24	6	3	1	0	3	4	3	3	2	0	4	0	4	1	0	4	7	0	1	1	0	2	4	0	5	5	3	2	0	0	0	2	2	1	0	5	9	1	0	0	0	3	0	0	0	0	1	0	3	6	8
p__Ciliophora	145	386	497	37	310	7	30	141	0	60	179	68	16	62	2628	598	136	720	487	1522	125	1860	1162	345	856	538	116	651	1045	272	256	2728	2717	1972	777	3967	266	833	339	280	608	650	267	483	2614	812	6903	387	1045	416	184	194	150	581	468	669	110	5608	921	1111	837	1072
p__Candidatus Undinarchaeota	0	0	0	0	1	0	3	2	0	4	0	2	0	0	0	2	0	0	2	0	1	2	1	0	0	1	1	3	0	0	0	0	1	5	0	2	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	1	1	0	0	0	2	1	0	0	5
p__Candidatus Helarchaeota	10	58	16	6	26	0	45	1	0	4	14	42	15	75	3	3	1	2	8	193	0	5	0	15	17	22	8	29	11	2	2	4	7	7	4	7	3	6	0	0	11	5	1	1	26	8	15	19	8	2	2	11	21	4	0	1	116	164	2	0	25	4
p__Candidatus Shapirobacteria	3	16	66	6	62	0	12	4	0	9	25	16	21	37	0	2	5	4	5	19	0	9	1	13	16	4	3	11	5	0	0	0	9	16	4	8	0	8	0	2	0	3	0	4	11	6	11	16	6	1	0	1	8	2	92	303	23	34	2	2	4	5
p__Saleviricota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Candidatus Heimdallarchaeota	15	187	56	7	95	5	83	0	0	52	121	137	45	109	8	14	9	9	10	22	8	19	0	58	21	56	39	72	298	10	7	5	23	18	14	13	8	20	6	3	5	4	7	36	20	6	19	115	44	102	3	49	58	18	55	63	24	34	13	22	11	16
p__Phixviricota	0	1	6	1	2	0	0	0	0	1	0	3	0	0	1	3	7	4	0	2	0	4	3	8	2	0	3	2	2	0	0	0	0	2	0	2	0	0	0	2	1	1	2	5	1	0	0	0	1	1	0	0	1	3	0	5	0	1	0	0	5	5
p__Candidatus Absconditabacteria	0	7	4	0	2	2	0	2	0	3	7	0	0	3	0	2	0	0	7	2	1	6	0	2	0	1	3	6	0	0	0	1	4	15	4	8	1	0	0	0	2	0	0	3	2	1	3	5	0	1	0	3	0	3	0	0	0	0	0	5	1	1
p__Rotifera	135	431	611	66	419	33	109	234	0	72	256	386	112	265	252	1210	196	696	941	400	321	3037	377	1481	2138	712	340	369	332	371	258	495	1332	587	917	642	209	339	384	483	326	288	262	299	111783	842	843	572	450	252	156	203	364	671	418	771	85	118	487	1048	1254	1961
p__Candidatus Micrarchaeota	30	362	106	22	106	16	129	0	1	51	145	282	29	172	23	15	12	23	32	174	10	15	6	27	27	65	42	68	15	16	15	10	32	33	33	38	20	30	11	13	23	6	11	13	48	40	28	104	31	24	2	26	39	32	37	40	263	192	13	30	23	28
p__Candidatus Nealsonbacteria	8	69	26	0	18	0	14	0	0	18	40	18	23	16	1	11	0	4	2	1	2	5	4	31	3	14	10	54	0	0	1	4	9	10	9	7	0	6	3	1	0	3	2	0	7	5	22	46	9	0	2	6	6	11	33	91	2	2	6	5	29	24
p__Chlorobi	76	659	294	24	376	26	224	54	2	135	448	254	78	251	91	145	212	82	107	144	46	188	34	390	556	296	109	243	62	14	36	135	143	118	75	160	28	52	17	19	40	37	39	993	118	94	172	444	124	42	8	48	126	150	192	443	39	67	142	238	547	603
p__Rhodophyta	43	486	191	18	146	9	116	28	0	35	142	137	58	224	97	245	137	149	132	61	43	124	262	184	116	119	56	110	150	214	46	31	262	169	109	148	77	70	187	74	129	122	84	64	123	107	150	185	133	102	49	66	76	79	115	238	61	46	84	59	162	137
p__Candidatus Wildermuthbacteria	5	35	4	0	0	0	2	0	0	2	4	0	1	2	1	2	2	0	2	1	0	1	0	0	0	6	7	11	0	0	0	0	3	2	0	2	0	0	0	2	0	0	0	0	0	1	4	0	0	0	0	0	6	0	4	19	0	0	18	0	7	0
p__candidate division KD3-62	4	18	10	0	1	3	7	0	0	1	18	5	1	0	0	2	1	2	3	2	0	3	2	2	0	0	1	8	5	0	0	0	5	6	2	4	1	2	1	2	1	0	1	1	5	2	4	7	3	0	0	4	6	2	14	6	2	4	3	0	0	0
p__Cyanobacteria	3829	35831	22373	897	30535	1098	15576	6090	538	7213	25419	30951	10472	212378	5835	8529	6505	34124	36002	12629	1680	47085	3301	99227	24345	28575	20932	7125	11017	3668	14184	5958	12522	14190	6956	18856	2590	11252	10244	8529	1934	16791	52331	6531	25697	42837	115920	65055	18109	2037	1400	3062	8874	18171	74130	39651	5918	5629	16169	16552	112741	27846
p__Candidatus Nomurabacteria	5	72	16	2	5	2	8	4	0	34	111	23	1	9	4	0	9	1	10	2	2	12	1	33	8	15	8	16	9	1	1	4	7	7	10	7	1	1	1	1	2	2	3	5	8	4	12	28	9	0	2	7	5	6	6	5	2	0	2	25	57	36
p__Caldiserica	5	106	62	13	59	0	8	7	0	8	43	99	17	18	11	9	11	1	7	3	4	11	2	6	1	29	45	44	32	0	7	0	9	13	3	4	10	3	2	0	9	3	2	5	11	4	19	21	6	8	3	11	25	16	56	55	9	0	2	13	15	19
p__Candidatus Falkowbacteria	1	19	40	1	7	0	7	8	0	9	56	8	4	20	9	4	4	8	3	2	10	14	4	16	18	49	9	26	37	3	6	6	24	22	6	28	2	3	8	2	2	6	2	8	9	14	18	20	6	9	4	7	13	17	13	14	1	4	13	15	58	16
p__Fusobacteria	54	176	82	92	199	13	62	386	2	35	172	199	43	41	133	78	42	46	631	106	199	134	34	500	192	362	455	1153	1310	30	22	50	105	12328	80	53	176	14	12	15	377	18	42	466	45	61	58	171	43	211	57	431	917	622	45	56	18	47	245	303	151	376
p__Tardigrada	3	37	10	4	5	4	7	1	0	6	15	17	5	13	7	29	6	14	100	39	5	31	13	21	9	2	3	5	34	53	13	16	59	38	24	22	20	8	31	20	39	16	29	14	120	108	46	15	14	20	13	12	6	1	16	34	7	4	12	22	5	29
p__Candidatus Lindowbacteria	8	58	32	2	63	0	10	0	0	21	68	37	16	11	6	7	8	2	2	1	5	15	1	15	15	10	4	17	43	2	2	9	19	22	10	9	9	4	2	3	9	0	2	18	6	11	21	35	15	0	1	14	11	1	11	11	0	0	6	18	24	11
p__Platyhelminthes	33	84	113	59	51	9	54	94	0	13	79	51	22	59	335	168	274	224	562	252	60	682	397	141	77	197	46	157	195	272	104	72	997	836	347	499	170	256	333	107	183	148	102	99	561	477	286	117	150	307	99	92	96	163	130	232	303	472	91	42	62	92
p__Hofneiviricota	2	11	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	190	0
p__Bryozoa	6	5	19	3	6	0	23	0	0	0	6	21	15	24	4	6	0	9	33	8	0	14	11	4	0	4	0	6	2	4	5	1	21	11	13	11	7	12	5	4	4	6	10	2	19	73	25	13	10	10	1	4	4	5	3	15	4	7	8	2	0	1
p__Candidatus Marinimicrobia	57	661	259	15	275	14	132	33	5	109	357	342	149	224	133	115	101	55	81	30	65	92	25	405	395	216	258	347	234	25	37	53	112	130	58	141	47	28	24	33	90	32	32	95	80	66	132	365	99	49	9	66	174	476	66	107	39	27	44	161	286	309
p__Candidatus Lokiarchaeota	12	297	126	15	109	14	117	12	0	200	629	273	31	241	35	41	12	18	43	135	18	50	6	122	49	72	79	127	105	17	13	20	55	54	45	48	45	29	8	6	58	28	37	89	49	56	49	81	30	98	7	84	96	47	41	40	240	145	19	42	153	82
p__Candidatus Abawacabacteria	2	18	16	1	1	2	1	0	0	2	11	3	0	0	1	3	2	0	3	0	0	2	0	4	0	8	1	0	1	0	1	0	0	3	0	7	0	0	0	0	0	0	0	2	0	2	4	1	0	2	2	3	2	2	0	0	0	0	2	4	0	3
p__Candidatus Jacksonbacteria	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
p__Candidatus Schekmanbacteria	5	26	63	6	18	11	21	1	0	6	23	19	7	15	3	9	5	8	13	11	10	12	3	42	5	18	12	28	17	4	6	1	14	14	15	28	6	5	0	6	8	8	3	0	13	11	17	104	12	3	0	13	14	11	4	14	9	13	1	29	12	17
p__candidate division CPR1	0	0	11	0	11	0	1	0	0	0	1	13	0	2	0	2	0	0	2	0	2	2	0	0	6	0	0	2	0	1	3	0	3	1	0	2	3	0	0	0	5	2	0	3	0	0	9	2	1	0	0	2	0	1	1	4	1	0	1	3	13	14
p__Olpidiomycota	15	142	42	1	56	3	2	10	1	13	48	10	16	13	7	51	15	199	91	21	20	24	131	63	45	12	7	37	34	130	23	13	85	82	131	137	38	57	165	84	88	73	30	37	49	28	43	76	53	63	43	34	38	7	28	42	5	3	57	12	4	15
p__Candidatus Korarchaeota	15	77	48	27	92	2	240	1	0	22	75	80	41	92	0	11	14	22	20	158	0	13	6	30	32	52	31	40	6	1	9	17	11	11	21	26	6	128	0	14	5	4	2	8	17	21	14	85	25	2	2	13	42	31	5	13	140	218	0	16	18	20
p__Chlamydiae	159	629	316	40	987	11	215	78	1	96	356	617	179	188	662	1115	1098	178	333	237	85	722	217	405	360	250	1338	447	1566	139	246	152	866	699	658	351	236	228	133	202	97	125	154	175	290	306	544	517	242	340	32	194	450	232	422	804	143	198	159	144	279	257
p__Verrucomicrobia	1588	11861	8686	443	5281	349	2450	955	28	2125	6986	5709	1762	3574	3659	7222	5298	4784	6628	2063	906	13902	2440	5043	6316	5868	2551	4221	4255	1501	5486	3462	8754	12048	4846	13064	1911	1733	1536	1971	1274	3829	2310	2710	8582	6945	13607	8525	3860	1243	820	2224	2891	6209	5090	10263	1173	1873	3086	3592	8347	5868
p__Candidatus Kuenenbacteria	1	12	16	0	21	4	0	2	0	28	57	10	5	0	4	4	13	2	3	1	0	3	25	4	1	9	16	3	1	0	0	2	1	5	2	1	0	2	0	2	0	2	3	23	3	6	3	3	1	0	3	4	0	2	3	0	0	0	0	3	6	2
p__Candidatus Huberarchaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Candidatus Hydrothermarchaeota	0	0	0	0	3	0	3	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	13	1	0	1	2	1	0	0	0	1	1	2	0	15	0	0	0	0	0	0	42	0	0	0	10	7	0	0	28	10	3	0	0	0	1	0	0	0	0
p__Candidatus Buchananbacteria	0	21	8	1	50	3	6	2	0	0	12	37	16	6	2	2	2	2	1	0	0	9	0	8	7	7	3	2	1	1	0	0	3	9	4	3	0	1	0	2	0	0	2	2	7	2	9	11	6	2	0	6	3	8	37	50	0	0	0	8	5	16
p__Cercozoa	22	33	43	9	27	2	12	8	0	8	24	55	8	18	24	961	36	49	41	47	5	52	27	38	52	6	16	26	73	23	10	18	947	77	58	104	26	36	22	25	18	30	76	18	35	35	64	37	27	26	7	26	36	11	71	216	20	23	30	15	27	23
p__Evosea	21	122	392	21	90	3	23	66	0	30	86	70	10	28	121	820	87	731	629	266	69	1139	464	309	1022	339	212	200	22277	278	104	78	891	466	315	1437	124	323	275	121	234	210	153	65	1374	984	1746	250	281	163	80	85	209	6957	203	325	311	164	436	178	487	457
p__Actinomycetota	1580219	5022210	3085524	576047	2865196	140930	946831	36229	9725	909760	3278565	2783508	772636	1068667	418964	267241	350466	119916	249418	71322	156810	377996	1367358	661589	337585	547032	398549	457418	620125	68144	39233	52251	303822	204934	705129	234218	998814	36515	263260	307758	392132	36801	59786	192583	117884	92564	204597	1453230	479081	17198	36679	238536	324664	212301	946877	2324587	32948	44835	97214	68444	121079	125811
p__Candidatus Margulisbacteria	5	83	174	3	63	4	31	11	0	39	64	38	29	95	16	44	30	41	16	35	18	28	52	99	52	43	36	58	81	0	10	16	41	39	15	29	25	10	15	11	88	14	8	25	30	8	33	77	36	50	14	36	85	31	21	42	11	25	31	17	46	61
p__Chlorophyta	281	1869	803	103	962	46	412	198	4	289	977	996	382	626	445	1272	495	945	1296	646	173	771	831	611	747	1079	516	774	1107	1094	698	415	1435	1410	687	956	354	374	896	396	596	588	405	329	629	533	924	1049	570	467	335	361	573	750	932	1489	208	199	406	535	811	1123
p__Tenericutes	122	434	156	28	179	8	93	400	2	197	694	179	79	158	336	237	47	45	139	164	545	73	75	1015	349	1075	1349	2535	3375	68	45	36	244	205	185	135	260	19	77	34	660	30	61	349	1489	72	216	159	112	573	73	514	1200	629	180	451	70	39	80	297	287	5594
p__Candidatus Gottesmanbacteria	9	63	147	0	56	2	28	2	0	22	44	154	5	20	9	9	19	7	14	7	5	26	11	16	13	7	12	49	23	7	7	7	22	35	15	62	5	11	4	13	2	6	16	11	15	9	35	33	6	11	1	4	13	3	17	47	7	4	21	8	8	22
p__Candidatus Woesebacteria	34	105	201	16	52	2	26	5	0	15	63	95	21	28	69	7	80	12	26	13	9	32	6	23	6	11	26	43	29	3	1	36	34	42	14	36	18	9	1	7	35	12	3	10	21	25	34	46	15	4	0	39	38	51	24	18	18	27	4	26	35	19
p__Candidatus Cryosericota	9	52	57	4	40	7	35	4	0	13	44	25	21	40	5	0	5	8	5	2	0	6	6	10	17	64	11	8	8	2	2	5	9	17	5	24	4	3	2	2	2	4	1	2	11	4	17	28	11	11	0	20	24	48	20	21	3	4	10	14	8	37
